,date,league,side,teamname,result,win_rate_before,avg_kills_before,avg_deaths_before,avg_assists_before,avg_dragons_before,avg_barons_before,avg_heralds_before,avg_towers_before,avg_visionscore_before,avg_earnedgold_before,avg_earned gpm_before,avg_cspm_before,avg_golddiffat15_before,avg_xpdiffat15_before,avg_csdiffat15_before,avg_firstblood_before,avg_firsttower_before
21,2026-05-13,EWC,Blue,Deep Cross Gaming,1,0.6666666666666666,21.0,12.0,49.0,2.8333333333333335,0.6666666666666666,0.8333333333333334,7.0,347.8333333333333,43533.5,1421.2117666666666,35.4512,1397.1666666666667,961.0,15.833333333333334,1.0,0.5
22,2026-05-14,EWC,Blue,Deep Cross Gaming,0,0.7142857142857143,21.285714285714285,10.857142857142858,51.42857142857143,2.857142857142857,0.7142857142857143,0.8571428571428571,7.142857142857143,347.14285714285717,43975.42857142857,1428.5288857142857,35.43485714285715,1473.142857142857,1086.142857142857,12.714285714285714,1.0,0.42857142857142855
23,2026-05-14,EWC,Blue,Deep Cross Gaming,1,0.625,20.875,12.75,50.5,2.625,0.75,0.875,6.375,341.75,43368.625,1409.423375,35.1834875,700.875,256.75,5.875,0.875,0.375
24,2026-05-14,EWC,Blue,Deep Cross Gaming,0,0.6666666666666666,20.333333333333332,13.222222222222221,47.888888888888886,2.6666666666666665,0.7777777777777778,0.7777777777777778,6.777777777777778,342.22222222222223,43385.22222222222,1421.789911111111,35.436511111111116,468.77777777777777,252.33333333333334,-2.6666666666666665,0.8888888888888888,0.3333333333333333
25,2026-06-28,MSI,Blue,Deep Cross Gaming,0,0.6,18.9,14.1,44.2,2.4,0.7,0.8,6.2,347.1,42459.7,1380.68693,35.218630000000005,-64.2,-86.0,-8.8,0.8,0.3
26,2026-06-28,MSI,Red,Deep Cross Gaming,0,0.5454545454545454,18.272727272727273,14.909090909090908,42.63636363636363,2.272727272727273,0.7272727272727273,0.8181818181818182,5.818181818181818,346.45454545454544,41770.63636363636,1354.7796454545455,35.035500000000006,-174.0909090909091,-271.27272727272725,-12.454545454545455,0.8181818181818182,0.2727272727272727
27,2026-06-28,MSI,Red,Deep Cross Gaming,0,0.5,17.0,16.25,39.916666666666664,2.0833333333333335,0.6666666666666666,0.75,5.416666666666667,336.25,40201.5,1315.6940833333333,34.529,-820.4166666666666,-744.4166666666666,-20.75,0.75,0.25
28,2026-06-29,MSI,Red,Deep Cross Gaming,0,0.46153846153846156,16.76923076923077,16.923076923076923,38.84615384615385,2.076923076923077,0.6923076923076923,0.6923076923076923,5.153846153846154,341.0,40570.61538461538,1317.8163538461538,34.62148461538462,-714.0769230769231,-774.8461538461538,-20.0,0.7692307692307693,0.23076923076923078
29,2026-06-29,MSI,Red,Deep Cross Gaming,0,0.42857142857142855,16.285714285714285,17.142857142857142,37.5,2.0,0.6428571428571429,0.6428571428571429,4.785714285714286,342.57142857142856,40344.78571428572,1303.2520142857143,34.63912857142857,-630.5,-875.3571428571429,-21.714285714285715,0.7857142857142857,0.21428571428571427
30,2026-06-29,MSI,Red,Deep Cross Gaming,0,0.4,16.333333333333332,17.666666666666668,37.733333333333334,2.066666666666667,0.6,0.6666666666666666,4.6,341.26666666666665,40513.26666666667,1304.1760199999999,34.70364,-724.2666666666667,-817.8666666666667,-19.866666666666667,0.7333333333333333,0.2
31,2026-03-16,FST,Red,G2 Esports,1,0.5,17.5125,14.5625,38.55625,2.425,0.76875,0.55,6.48125,306.15,41960.225,1354.63803875,35.311075625,342.55,295.875,3.0625,0.53125,0.55
32,2026-03-16,FST,Blue,G2 Esports,1,1.0,22.0,10.0,52.0,3.0,2.0,0.0,10.0,317.0,47158.0,1605.8343,36.538,3137.0,2786.0,52.0,1.0,0.0
33,2026-03-16,FST,Blue,G2 Esports,1,1.0,21.5,14.5,51.5,3.0,1.5,0.5,8.5,328.5,45875.0,1470.46205,35.110299999999995,3021.0,2393.0,22.5,0.5,0.5
34,2026-03-18,FST,Red,G2 Esports,0,1.0,21.0,13.666666666666666,47.333333333333336,2.6666666666666665,1.3333333333333333,0.3333333333333333,9.333333333333334,305.0,44722.0,1489.5037,35.55573333333333,1662.3333333333333,1922.3333333333333,17.333333333333332,0.3333333333333333,0.3333333333333333
35,2026-03-18,FST,Red,G2 Esports,0,0.75,17.75,14.25,39.5,2.25,1.0,0.25,7.25,313.75,42427.5,1387.35585,35.280575,877.25,1014.75,3.75,0.5,0.25
36,2026-03-18,FST,Red,G2 Esports,0,0.6,15.6,15.0,33.8,2.4,0.8,0.2,5.8,308.6,39975.6,1311.67732,35.00038,390.4,775.8,0.0,0.4,0.2
37,2026-03-20,FST,Red,G2 Esports,1,0.5,15.0,17.0,34.0,2.1666666666666665,0.6666666666666666,0.16666666666666666,5.0,301.3333333333333,39092.666666666664,1285.2928166666668,34.2335,-677.3333333333334,-243.66666666666666,-11.833333333333334,0.3333333333333333,0.16666666666666666
